استان,شهر,longitude,latitude
اصفهان,گلپایگان,50.28,33.45
خراسان رضوی,گناباد,58.68,34.35
گلستان,گنبد قابوس,55.17,37.25
کرمانشاه,گیلان غرب,45.92,34.13
اردبیل,گیوی کوثر,48.35,37.69
فارس,لار,54.28,27.68
فارس,لامرد,53.18,27.34
گیلان,لاهیجان,50,37.2
چهارمحال و بختياري,لردگان,50.82,31.51
گیلان,لنگرود,50.15,37.18
تهران,لواسان,51.78,35.82
گيلان,ماسال,49.13,37.36
آذربایجان غربی,ماکو,44.5,39.3
زنجان,ماه نشان,47.66,36.74
خوزستان,ماهشهر,49.22,30.65
اصفهان,مبارکه,51.66,32.49
مركزي,محلات,50.5,33.88
قزوین,محمدیه,51.55,35.29
آذربايجان غربي ,محمودآباد,52.25,36.63
آذربایجان شرقی,مراغه,46.22,37.42
آذربایجان شرقی,مرند,45.77,38.43
فارس,مرو دشت,52.83,29.8
كردستان,مریوان,46.2,35.45
خوزستان,مسجد سلیمان,49.3,31.98
اردبیل,مشکین شهر,47.68,38.38
خراسان رضوی,مشهد,59.57,36.27
تهران,ملارد,50.99,35.67
همدان,ملایر,48.85,34.32
آذربایجان شرقی,ملکان,46.53,38.07
كرمان,منوجان,57.5,27.41
آذربایجان غربی,مهاباد,45.72,36.77
ایلام,مهران,46.17,33.12
یزد,مهریز,54.45,31.58
آذربایجان غربی ,میاندوآب,46.1,36.97
آذربایجان شرقی,میانه,47.7,37.33
یزد,میبد,54.01,32.23
هرمزگان,میناب,57.07,27.15
گلستان,مینودشت,55.37,37.22
اصفهان,نائین,53.08,32.87
اصفهان,نجف آباد,51.35,32.67
يزد,ندوشن,53.55,32.02
اصفهان,نطنز,51.9,33.52
البرز,نظرآباد,50.6,35.95
آذربايجان غربي ,نقده,45.37,36.95
مازندران,نکا,53.29,36.66
اردبیل,نمین,48.49,38.42
مازندران,نور,52.03,36.63
لرستان,نورآباد,47.97,34.08
فارس,نورآباد ممسنی,51.53,30.11
مازندران,نوشهر,51.55,36.65
لرستان,نهاوند,48.37,34.2
خراسان جنوبي,نهبندان,60.4,31.54
اردبیل,نیر,48,38.03
فارس,نیریز,54.33,29.2
خراسان رضوی,نیشابور,58.82,36.22
سیستان و بلوچستان,نیک شهر,60.22,26.23
تهران,ورامین,51.65,35.32
آذربايجان شرقي,ورزقان,46.67,38.49
آذربایجان شرقی,هادی شهر,45.63,38.87
یزد,هرات,54.36,30.08
كرمانشاه,هرسین,47.6,34.26
آذربایجان شرقی,هریس,47.11,38.25
آذربايجان شرقي,هشترود,47.06,37.47
تهران,هشتگرد,50.66,35.97
همدان,همدان,48.58,34.77
خوزستان,هندیجان,49.72,30.24
کهگیلویه و بویراحمد,یاسوج,51.68,30.82
یزد,یزد,54.37,31.92
